code_CEC#num_dec#centre_etat#sexe_decede#date_naiss_decede#date_deces#lieu_deces#date_dec
LT1701#050403LT1701D000382#LT1701## #2024-10-17#DOUALA#2024-10-29
LT1701#050403LT1701D000482#LT1701## #2024-09-19#DOUALA#2024-10-29
LT1701#050403LT1701D000582#LT1701## #2024-09-21#DOUALA#2024-10-29
LT1701#050403LT1701D000682#LT1701## #2024-09-25#DOUALA#2024-10-29
LT1701#050403LT1701D000782#LT1701## #2024-09-29#DOUALA#2024-10-29
LT1701#050403LT1701D000882#LT1701## #2024-10-07#DOUALA#2024-10-29
LT1701#050403LT1701D000982#LT1701## #2024-10-08#DOUALA#2024-10-29
LT1701#050403LT1701D000092#LT1701## #2024-08-14#DOUALA#2024-10-29
