code_CEC#num_dec#centre_etat#sexe_decede#date_naiss_decede#date_deces#lieu_deces#date_dec
LT1701#050403LT1701D000622#LT1701## #2024-07-11#DOUALA#2024-09-02
LT1701#050403LT1701D000722#LT1701## #2024-08-09#DOUALA#2024-09-02
LT1701#050403LT1701D000822#LT1701## #2024-08-14#DOUALA#2024-09-02
LT1701#050403LT1701D000922#LT1701## #2024-07-05#DOUALA#2024-09-02
LT1701#050403LT1701D000032#LT1701## #2024-08-20#DOUALA#2024-09-02
LT1701#050403LT1701D000132#LT1701## #2024-08-23#DOUALA#2024-09-02
LT1701#050403LT1701D000232#LT1701## #2024-06-04#DOUALA#2024-09-02
LT1701#050403LT1701D000332#LT1701## #2024-08-19#DOUALA#2024-09-02
